rating,date,title,content
"5","2026-06-13","sss +","过上了好日子红红火火"
"2","2026-06-13","两颗星","违禁词太多说一两句话就接受不了信息想钱想疯了，干什么都要钱，还忘本我真是早已麻痹了不会做就干脆早点下架更新更了半天更了个什么呀？两颗心我都觉得多"
"5","2026-06-13","去掉上限","去掉上限啊啊啊求你了，以前的星野回来好不好，妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈妈"
"1","2026-06-13","星野完蛋","忘本狗"
"4","2026-06-13","还行","有时候评论照片老是被吞 莫名其妙系欢的人物被下架 比如我玩的陆昭100级了下架了 评论区随便ky素质低 （小部分）其他还好 主要玩了这么久"
"1","2026-06-13","忘本圈钱","前前后后玩了两年多了，每次更新真是都给我一个“惊喜”以前的无限畅聊到现在的需要会员才能解锁，对话改写还要用钻石换，以前的随便回溯撤回现在每天只能回溯撤回70条消息，想多弄一点还需要花钱，更新后只想着圈钱了是吧，太让大家失望了，身边很多人都退游了，开发商要疯吗，只会圈钱吗，本来下载就是看着比较良心下载的，那你一开始就这样也不说啥了，那你越更新越差是啥意思啊，我要知道你这种我去玩别的软件的智能体好不好，太忘本了"
"1","2026-06-13","垃圾","废物"
"3","2026-06-13","我不行了","666现在升级了啥都搜不到"
"5","2026-06-13","很好的","强烈推荐啊 不仅可以塑造角色还有各种各样的款式造型 你还可以自己做"
"5","2026-06-13","好","好"
"1","2026-06-13","越做越烂","您继续圈钱老玩家真的寒心"
"3","2026-06-13","聊天体验越来越不好","其实我真的搞不懂，我玩星野也有一年多了。真的做的越来越拉垮了，现在聊天才聊几十句就限制上线，不能聊了，还要看广告，广告还要限次数，敏感词太多了，我一个逗号怎么就敏感了？消息动不动就被吞，下架的智能体太多了，而且有些智能体别太离谱，真的就给人的体验不是很好。"
