rating,date,title,content
"5","2026-06-19","加油加油","我很喜欢这个app，比起很多AI聊天的app已经便宜很多了，希望猫箱越来越好。（还有敏感词不要那么多，如果付费的话）"
"1","2026-06-19","破广告app","猫箱你就继续这样让整个app都充满广告吧 五分钟都不到就俩广告 你真是想钱想疯了吧"
"3","2026-06-19","无","没聊几句就有广告"
"2","2026-06-19","不是5分钟吗，我怎么变成1分钟了","不是，程序员能不能改改啊，看完广告不是五分钟吗，我的为什么变成1分钟了，我现在打三四句就开始看广告了，求改吧😡🥲我没招了，广告太多了"
"3","2026-06-19","语音","语音不完善，说了一半天，结果他说输入错误，没有显示出来，特别麻烦，其他的都非常好玩，玩了很久还充钱了🤣充了好多会员了也没什么好的连那个心动模式都还是有次数的…不准备充了…而且现在都还要看广告了我真的无语！！！！！！"
"5","2026-06-19","猫箱太厉害了","我是高兴的，我居然找到了这么好的AI"
"5","2026-06-19","每个角色发言时括号里的文字太少，就他妈四个字，操，多发点啊","每个角色发言时括号里的文字太少，就他妈四个字，操，多发点啊"
"1","2026-06-19","手机直接卡在那里了 没法关机","我真是第一次遇到这种情况 手机直接成搬砖了 什么都划不了 按开关键也没用 关机也关机不了 还是强制关机才好 真是服了"
"1","2026-06-19","广告太多","广告多  两分钟一个广告"
"5","2026-06-19","AI人物会失忆、开了会员是不用看广告了、但是记忆错乱、有时连动不起来、","而且强力建议取消上线时间、对于我这个离职在家的人来说很难过"
"5","2026-06-19","支持横屏！","横屏咋了 豆包能横屏猫箱不能？平板用户又不是所有软件都只能用竖屏 凭啥那么多软件都能适应横屏你们做一下适应怎么你了"
"1","2026-06-19","神了……","不会更新就别乱更新，一股子大男子主义味儿，懂不懂就在这里ru'nv，你知道玩你的女性占比多少吗？而且发个正常消息都能给我吞了，我就纳闷了你到底怎么设置的敏感词？！你到底是不是沾点？你还真的想做好软件吗？会员开了又没什么太大区别，要不是懒得看广告，我闲的没事干充年会员。到底会不会做软件，不会就快滚吧，开发到底行不行啊？！！！"
"4","2026-06-19","难评。","我说真的。这个猫箱ai我不懂你是怎么了 老是记不住记忆 前面明明已经有过的场景还要再给我发生一边 还老是给配角加戏 我真的玩累了。"
"5","2026-06-19","🤔","很好玩 就是广告多"
"5","2026-06-19","两次评价","我觉得这个App真的很神圣"
"5","2026-06-19","好玩玩好","还是一个字好玩好玩好玩好"
"4","2026-06-18","分享里边多加几条","希望分享能做到五百多条，因为一百多条根本塞不下，分享主要是对我来说是保存保存不了那么多了，那我会当场爆炸"
"5","2026-06-18","好评","这个软件真的非常适合孤单的人聊天，我也很喜欢"
"1","2026-06-18","广告和实名制","这个臭广告和这个臭实名制烦得要死，本身记性差，记不住身份证号码还要去找身份证，然后这个臭广告没几分钟就弹一次，非常影响体验"
"5","2026-06-18","角色很好","肯定是好评不用我多说，不管是旧版还是现在都好，第一是角色的声音"
"4","2026-06-18","还可以","还可以呢，希望角色记忆更多一些吧，玩了也挺久了"
"5","2026-06-18","好玩","666太好玩了好玩到爸给我猫箱删了"
"1","2026-06-18","？","666"
"4","2026-06-18","时间限制","猫箱你真的什么都挺好但是会员太贵了还有时间限制不管成年了没有我好好聊着来一个广告还那么长不看还要等20分钟真的很难受你赚钱可以能不能给点优惠或减少广告时间玩想买会员但太贵了啊真心希望做出改变求官方看到😭😭😭"
"1","2026-06-18","猫香拉完了","拉完了还要实名认证"
"1","2026-06-18","根本没法聊","都是…"
"3","2026-06-18","还行吧","还可以吧，就是不充会员，真的要不停地看视频，挺烦的"
"2","2026-06-18","还行","故事，功能都还行，广告特多，玩的正入戏，莫名其妙就弹出来一个广告，对零氪真的很不友好"
"1","2026-06-18","逻辑不通，爹味极重，已卸载","猫箱越来越差了，真的玩不下去了，没有活人感，只有气人感"
"1","2026-06-18","烂","真的无语，现在聊一下就要看广告，还必须要充钱，建议大家不要下载"
"4","2026-06-18","非常good","广告频率有点高了"
"5","2026-06-18","好评","真的很好玩，还可以学习，辩论
弥补了没人聊天的缺点"
"4","2026-06-18","作者大大请看","其实也算是看着猫箱成长的，从一开始单一的选项到有好几种恋爱剧场，总体还是不错的，就是这个ai容易忘事件，接着加油哦"
"2","2026-06-18","没广告不能活了吗","我真服了 之前没能量了看个广告聊的时间也不是太少 现在不知道是我感觉问题还是咋 没能量了看广告之后才聊没多大会 又要看了 神人来的😂"
"5","2026-06-18","都还行","都挺好的，但玩的时间久一点不要那么多广告，其他的都很好"
"1","2026-06-18","额","我真服了怎么玩一下就要弹广告烦死了，非要充会员？为什么没有零分选项！"
"1","2026-06-18","烂","看了广告回来还是等待  根本不显示"
"4","2026-06-18","还行","刚刚玩的时候还是不错的，广告不多，敏感词正常，现在呢？广告多的要死，虽然敏感词还行，但整体没有以前好了🥹"
"5","2026-06-18","好哦！","都挺好的，希望官方做一个HD，能和平板一样大"
"1","2026-06-17","垃圾","聊一会儿就弹出一个广告旁白代替角色还严重，还让不让人玩了你们知不知道只会打广告还不会修bug？"
